Code,State
63,Alabama
94,Alaska
86,Arizona
71,Arkansas
93,California
84,Colorado
16,Connecticut
51,Delaware
53,D.C.
59,Florida
58,Georgia
95,Hawaii
82,Idaho
33,Illinois
32,Indiana
42,Iowa
47,Kansas
61,Kentucky
72,Louisiana
11,Maine
52,Maryland
14,Massachusetts
34,Michigan
41,Minnesota
64,Mississippi
43,Missouri
81,Montana
46,Nebraska
88,Nevada
12,New Hampshire
22,New Jersey
85,New Mexico
21,New York
56,North Carolina
44,North Dakota
31,Ohio
73,Oklahoma
92,Oregon
23,Pennsylvania
15,Rhode Island
57,South Carolina
45,South Dakota
62,Tennessee
74,Texas
87,Utah
13,Vermont
54,Virginia
91,Washington
55,West Virginia
35,Wisconsin
83,Wyoming
