STATECENSUS,IND,State,"Industry Name ",observations,employment,members,covered
11,170,Maine,"Crop production",21,2135.30216333333,0,0
11,180,Maine,"Animal production",18,1522.28885166667,0,0
11,190,Maine,"Forestry except logging",8,629.58892,0,0
11,270,Maine,Logging,25,2100.30949,0,0
11,280,Maine,"Fishing, hunting, and trapping",6,512.643008333333,0,0
11,290,Maine,"Support activities for agriculture and forestry",5,427.335268333333,0,0
11,370,Maine,"Oil and gas extraction",1,88.78036,0,0
11,470,Maine,"Nonmetallic mineral mining and quarrying",2,153.382635,0,0
11,490,Maine,"Support activities for mining",7,532.609445,0,0
11,570,Maine,"Electric power generation, transmission and distribution",32,2685.39800666667,397.030875,397.030875
11,580,Maine,"Natural gas distribution",3,247.624781666667,0,0
11,590,Maine,"Electric and gas, and other combinations",2,181.55476,0,0
11,670,Maine,"Water, steam, air conditioning, and irrigation systems",12,968.561078333333,149.85535,232.321846666667
11,680,Maine,"Sewage treatment facilities",10,938.876415,216.53312,216.53312
11,770,Maine,CONSTRUCTION,317,29021.3499966667,2831.08018166667,2973.69384333333
11,1070,Maine,"Animal food, grain, and oilseed milling",3,291.674221666667,0,0
11,1080,Maine,"Sugar and confectionery products",1,83.8365783333333,0,0
11,1090,Maine,"Fruit and vegetable preserving and specialty food manufacturing",7,525.80625,0,0
11,1170,Maine,"Dairy product manufacturing",4,295.42493,158.648828333333,158.648828333333
11,1180,Maine,"Animal slaughtering and processing",7,546.966395,68.4764116666667,68.4764116666667
11,1190,Maine,"Retail bakeries",13,1064.27211333333,0,0
11,1270,Maine,"Bakeries and tortilla manufacturing, except retail",6,474.483505,0,0
11,1280,Maine,"Seafood and other miscellaneous foods, n.e.c.",4,393.219921666667,96.5068566666667,96.5068566666667
11,1290,Maine,"Not specified food industries",2,195.020971666667,0,0
11,1370,Maine,"Beverage manufacturing",17,1483.66121,105.066825,105.066825
11,1470,Maine,"Fiber, yarn, and thread mills",1,87.3530483333333,87.3530483333333,87.3530483333333
11,1480,Maine,"Fabric mills, except knitting mills",16,1346.28595833333,0,0
11,1490,Maine,"Textile and fabric finishing and coating mills",2,231.734463333333,0,0
11,1590,Maine,"Textile product mills, except carpet and rug",5,406.612563333333,0,0
11,1770,Maine,"Footwear manufacturing",5,428.041465,0,0
11,1790,Maine,"Leather tanning and finishing and other leather and allied products manufacturi",1,65.992755,0,0
11,1870,Maine,"Pulp, paper, and paperboard mills",44,3792.78405166667,2205.50584666667,2302.65194
11,1880,Maine,"Paperboard containers and boxes",3,258.784831666667,81.120625,81.120625
11,1890,Maine,"Miscellaneous paper and pulp products",8,695.774073333333,0,0
11,1990,Maine,"Printing and related support activities",18,1697.572415,0,0
11,2070,Maine,"Petroleum refining",1,83.76963,0,0
11,2090,Maine,"Miscellaneous petroleum and coal products",1,53.186305,0,0
11,2170,Maine,"Resin, synthetic rubber and fibers, and filaments manufacturing",4,313.700121666667,0,0
11,2180,Maine,"Agricultural chemical manufacturing",3,543.403418333333,0,0
11,2190,Maine,"Pharmaceutical and medicine manufacturing",17,1333.70138666667,0,0
11,2280,Maine,"Soap, cleaning compound, and cosmetic manufacturing",5,399.540363333333,77.105755,77.105755
11,2290,Maine,"Industrial and miscellaneous chemicals",7,523.83483,0,59.2979666666667
11,2370,Maine,"Plastics product manufacturing",5,381.685876666667,85.0817383333333,85.0817383333333
11,2380,Maine,"Tire manufacturing",1,94.60662,0,0
11,2470,Maine,"Pottery, ceramics, and plumbing fixture manufacturing",2,174.944688333333,0,0
11,2480,Maine,"Structural clay product manufacturing",2,181.584741666667,0,0
11,2490,Maine,"Glass and glass product manufacturing",3,310.278928333333,0,0
11,2570,Maine,"Cement, concrete, lime, and gypsum product manufacturing",5,487.226285,118.305008333333,118.305008333333
11,2590,Maine,"Miscellaneous nonmetallic mineral product manufacturing",6,539.971086666667,0,0
11,2680,Maine,"Aluminum production and processing",1,124.293066666667,0,0
11,2690,Maine,"Nonferrous metal (except aluminum) production and processing",1,70.312615,70.312615,70.312615
11,2770,Maine,Foundries,1,126.691016666667,0,0
11,2790,Maine,"Cutlery and hand tool manufacturing",3,258.93427,0,0
11,2870,Maine,"Structural metals, and boiler, tank, and shipping container manufacturing",13,1219.58347333333,0,0
11,2880,Maine,"Machine shops; turned product; screw, nut, and bolt manufacturing",17,1645.00275,0,116.508151666667
11,2890,Maine,"Coating, engraving, heat treating and allied activities",3,208.555406666667,0,0
11,2970,Maine,Ordnance,6,431.098428333333,243.143063333333,243.143063333333
11,2980,Maine,"Miscellaneous fabricated metal products manufacturing",6,512.405135,0,0
11,3070,Maine,"Agricultural implement manufacturing",1,63.64431,0,0
11,3080,Maine,"Construction, and mining and oil and gas field machinery manufacturing",2,137.948306666667,0,0
11,3095,Maine,"Commercial and service industry machinery manufacturing",1,73.3712416666667,0,0
11,3170,Maine,"Metalworking machinery manufacturing",7,651.720916666667,0,0
11,3180,Maine,"Engines, turbines, and power transmission equipment manufacturing",2,166.548163333333,0,0
11,3291,Maine,"Machinery manufacturing, n.e.c. or not specified",1,68.210115,0,0
11,3370,Maine,"Communications, and audio and video equipment manufacturing",4,337.076025,0,0
11,3380,Maine,"Navigational, measuring, electromedical, and control instruments manufacturing",12,965.299245,210.970398333333,210.970398333333
11,3390,Maine,"Electronic component and product manufacturing, n.e.c.",19,1869.75317833333,0,0
11,3470,Maine,"Household appliance manufacturing",3,324.406708333333,0,0
11,3490,Maine,"Electrical lighting and electrical equipment manufacturing, and other electrica",7,635.90283,0,0
11,3570,Maine,"Motor vehicles and motor vehicle equipment manufacturing",6,604.278235,0,0
11,3580,Maine,"Aircraft and parts manufacturing",28,2463.65707166667,187.91644,264.15597
11,3590,Maine,"Aerospace product and parts manufacturing",3,260.997146666667,100.119216666667,100.119216666667
11,3680,Maine,"Ship and boat building",106,9295.91434333333,4462.76335666667,4743.22186
11,3770,Maine,"Sawmills and wood preservation",33,3118.710215,76.3738866666667,76.3738866666667
