STATECENSUS,State,YEAR,observations,employment,members,covered
11,Maine,2016,1409,567906.968291666,64742.3799583334,76827.675375
11,Maine,2017,1422,576938.938691665,65679.9542,81000.9182249999
11,Maine,2018,1302,572761.129975001,73904.7573416667,84691.5879083333
11,Maine,2019,1226,589203.931200001,69424.404925,80850.5781333334
11,Maine,2020,1113,556949.762816666,81184.6501416667,92623.068925
12,"New Hampshire",2016,2572,668176.970733334,62893.3284083333,73780.3516583333
12,"New Hampshire",2017,2428,642224.605833331,72217.5765583333,83308.9732
12,"New Hampshire",2018,2451,664204.281541667,67707.44535,77092.4925
12,"New Hampshire",2019,2412,677148.150516669,69475.5369,78585.2526666667
12,"New Hampshire",2020,2061,629094.967125001,61397.663725,69453.9632833333
13,Vermont,2016,2356,289756.684908333,33180.7641666667,37209.8675833334
13,Vermont,2017,2222,288307.517691666,31721.5292916667,34785.7281916667
13,Vermont,2018,2255,291644.893325,30619.3036416667,33839.3298916667
13,Vermont,2019,2144,289926.216916667,32620.3463083333,34761.1161083333
13,Vermont,2020,1847,264710.260141667,31330.6180166667,36410.5888916667
14,Massachusetts,2016,3687,3162374.47788332,381856.833633333,406932.660741667
14,Massachusetts,2017,3798,3232931.99941666,400409.227241666,430985.90725
14,Massachusetts,2018,3744,3392452.28727501,462738.796283333,490970.14495
14,Massachusetts,2019,3535,3393047.54160832,406341.096108334,448921.543891667
14,Massachusetts,2020,2954,2987256.17103333,357740.277583333,384272.875716666
15,"Rhode Island",2016,1600,482075.314675,74423.3268083334,81522.520725
15,"Rhode Island",2017,1594,485378.554641666,78223.9387166667,83459.6789833334
15,"Rhode Island",2018,1604,479726.554675,83165.456825,88538.1714416667
15,"Rhode Island",2019,1467,474069.851491667,82461.2318416666,90129.5682916666
15,"Rhode Island",2020,1269,455762.069108334,81098.1296416666,86861.6957916667
16,Connecticut,2016,1753,1568650.12335833,274782.275766667,288104.073941667
16,Connecticut,2017,1747,1645267.815875,278874.069725,295690.26455
16,Connecticut,2018,1752,1677130.09120833,267221.60205,280082.661716667
16,Connecticut,2019,1721,1680598.08144166,243824.9352,268293.0212
16,Connecticut,2020,1411,1523509.77720833,260509.756458333,280200.515025
21,"New York",2016,6683,8230551.08120837,1941348.833,2074805.12850834
21,"New York",2017,6745,8478589.41643332,2016436.68006667,2147226.89128333
21,"New York",2018,6427,8407048.88100835,1873880.013325,2028340.967175
21,"New York",2019,6279,8258424.78145827,1732568.91989167,1876885.227325
21,"New York",2020,5174,7553914.65338335,1662695.613425,1785065.818425
22,"New Jersey",2016,3605,4001255.76964167,643219.092583333,666063.539416666
22,"New Jersey",2017,3371,3897617.43221666,628733.814866666,664247.518741666
22,"New Jersey",2018,3270,3932704.80539165,587218.828066667,638845.504741668
22,"New Jersey",2019,3328,4095348.94790833,642233.024050001,711781.634916668
22,"New Jersey",2020,2739,3726546.60337502,598811.446,659079.2428
23,Pennsylvania,2016,4934,5690294.07625832,686583.136183334,725365.28605
23,Pennsylvania,2017,4617,5538668.96002497,664701.994216667,722368.872191667
23,Pennsylvania,2018,4424,5582103.5351,700129.924766667,747836.655966667
23,Pennsylvania,2019,4184,5641891.90142497,676536.7471,740493.284316667
23,Pennsylvania,2020,3597,5315775.608,718995.697758334,775815.512033334
31,Ohio,2016,4416,4972894.74723333,616305.790775,701149.39865
31,Ohio,2017,4368,5067870.23769167,634474.267758334,688023.326016667
